bacterium_id,time_s,x_um,y_um,heading_rad,speed_um_s,motor_state,is_tumble,tumble_angle_rad,attractant_conc_uM,repellent_conc_uM,net_signal,signal_delta,tumble_probability,energy_level,dist_to_attractant_center_um,dist_to_repellent_center_um
0,0.0,38.418,89.097,4.5993,19.532,CCW,0,0.0,397.0274,46.939,373.5579,0.0,0.1,99.8,40.777,42.566
0,0.1,38.418,89.097,0.9652,0.0,CW,1,2.3671,397.0274,46.939,373.5579,23.4903,0.0889,99.1,40.777,42.566
0,0.2,39.333,90.475,0.9652,18.838,CCW,0,0.0,377.8229,48.7878,353.4289,0.0,0.1,98.9,41.857,41.995
0,0.3,39.849,91.798,0.9652,18.152,CCW,0,0.0,357.7704,49.2668,333.137,-20.129,0.1,98.7,43.013,41.849
0,0.4,40.716,93.161,0.9652,19.144,CCW,0,0.0,338.636,50.6601,313.3059,-20.2919,0.1,98.5,44.149,41.43
0,0.5,41.631,94.026,0.9652,15.721,CCW,0,0.0,327.668,52.6244,301.3558,-19.8311,0.1,98.3,44.815,40.852
0,0.6,42.629,95.511,0.9652,20.244,CCW,0,0.0,307.014,53.9775,280.0252,-11.9501,0.1,98.1,46.104,40.462
0,0.7,42.629,95.511,3.556,0.0,CW,1,2.4802,307.014,53.9775,280.0252,-21.3306,0.1,97.4,46.104,40.462
0,0.8,40.483,94.953,3.556,19.973,CCW,0,0.0,309.4432,47.9508,285.4678,0.0,0.1,97.2,45.95,42.251
0,0.9,39.709,94.604,3.556,17.558,CCW,0,0.0,312.1909,46.0176,289.1822,5.4426,0.0973,97.0,45.776,42.856
0,1.0,37.795,93.705,3.556,21.477,CCW,0,0.0,318.5602,41.39,297.8652,3.7144,0.0982,96.8,45.377,44.375
0,1.1,36.251,92.763,3.556,19.398,CCW,0,0.0,325.9771,37.9723,306.9909,8.6831,0.0958,96.6,44.918,45.572
0,1.2,33.829,92.027,3.556,20.687,CCW,0,0.0,324.1519,32.3682,307.9677,9.1257,0.0955,96.4,45.031,47.712
0,1.3,33.829,92.027,5.4911,0.0,CW,1,1.643,324.1519,32.3682,307.9677,0.9768,0.0995,95.7,45.031,47.712
0,1.4,35.582,90.789,5.4911,21.164,CCW,0,0.0,353.5303,37.5926,334.734,0.0,0.1,95.5,43.262,45.71
0,1.5,35.582,90.789,1.4823,0.0,CW,1,2.3593,353.5303,37.5926,334.734,26.7662,0.0875,94.8,43.262,45.71
0,1.6,36.057,92.703,1.4823,20.663,CCW,0,0.0,325.922,37.5031,307.1705,0.0,0.1,94.6,44.922,45.742
0,1.7,36.584,94.389,1.4823,19.629,CCW,0,0.0,302.8115,37.5151,284.054,-27.5635,0.1,94.4,46.372,45.738
0,1.8,37.061,96.475,1.4823,19.856,CCW,0,0.0,274.4502,36.8239,256.0383,-23.1165,0.1,94.2,48.243,45.991
0,1.9,37.675,98.44,1.4823,18.71,CCW,0,0.0,249.5764,36.3479,231.4025,-28.0158,0.1,94.0,49.984,46.168
0,2.0,38.052,99.937,1.4823,14.761,CCW,0,0.0,231.1497,35.6095,213.345,-24.6358,0.1,93.8,51.346,46.445
0,2.1,38.494,100.0,1.4823,19.402,CCW,0,0.0,231.6716,36.6032,213.37,-18.0575,0.1,93.6,51.307,46.073
0,2.2,38.542,100.0,1.4823,22.956,CCW,0,0.0,231.8116,36.7185,213.4524,0.025,0.1,93.4,51.296,46.03
0,2.3,38.86,100.0,1.4823,18.996,CCW,0,0.0,232.7398,37.4989,213.9904,0.0824,0.1,93.2,51.226,45.744
0,2.4,39.181,100.0,1.4823,18.94,CCW,0,0.0,233.654,38.2974,214.5053,0.538,0.0997,93.0,51.157,45.455
0,2.5,39.282,100.0,1.4823,21.937,CCW,0,0.0,233.9367,38.5507,214.6614,0.5149,0.0997,92.8,51.136,45.364
0,2.6,39.013,100.0,1.4823,19.216,CCW,0,0.0,233.1784,37.8782,214.2393,0.1561,0.0999,92.6,51.193,45.606
0,2.7,39.013,100.0,3.5377,0.0,CW,1,2.049,233.1784,37.8782,214.2393,-0.422,0.1,91.9,51.193,45.606
0,2.8,37.154,99.395,3.5377,19.209,CCW,0,0.0,235.2428,34.0826,218.2015,0.0,0.1,91.7,51.038,47.031
